q1,q1_ref,q2,q2_ref
-9.351944108004773e-09,0,5.473914654885448e-10,0
-9.238380727083495e-09,0,5.40744338195509e-10,0
-9.126195799069592e-09,0,5.341771469602463e-10,0
-9.015372448573089e-09,0,5.276898917827566e-10,0
-8.905895576560852e-09,0,5.212843490198793e-10,0
-8.797748307642905e-09,0,5.149534132442568e-10,0
-8.690913766429276e-09,0,5.086988608127285e-10,0
-8.585376853886828e-09,0,5.025224680821339e-10,0
-8.481121582804008e-09,0,4.96420682338794e-10,0
-8.37813285414768e-09,0,4.903917272258695e-10,0
-8.27639379252787e-09,0,4.844356027433605e-10,0
-8.175891075268282e-09,0,4.785540852481063e-10,0
-8.076607826978943e-09,0,4.727436220264281e-10,0
-7.978530724983557e-09,0,4.670024367214864e-10,0
-7.881644670248988e-09,0,4.6133230569012085e-10,0
-7.785935451920523e-09,0,4.5572967621865246e-10,0
-7.691387970965025e-09,0,4.501963246639207e-10,0
-7.597988016527779e-09,0,4.447286983122467e-10,0
-7.50572315411091e-09,0,4.3932857352046994e-10,0
-7.410050351097652e-09,0,4.3372772040584096e-10,0
-7.324540973741023e-09,0,4.2872194683241105e-10,0
-7.235596122256993e-09,0,4.235154449361289e-10,0
-7.1477321839097385e-09,0,4.183746682429046e-10,0
-7.060934059666124e-09,0,4.1329428768221987e-10,0
-6.975191091385113e-09,0,4.0827430325407477e-10,0
-6.890489068211991e-09,0,4.0331649131530867e-10,0
-6.806814667470462e-09,0,3.984190755090822e-10,0
-6.72415723101949e-09,0,3.935820558353953e-10,0
-6.642503436182778e-09,0,3.888018795805692e-10,0
-6.561840848462452e-09,0,3.8408032310144335e-10,0
-6.482158809717475e-09,0,3.794173863980177e-10,0
-6.403443109093132e-09,0.5,3.7480774039977405e-10,0.5
-6.325683976626806e-09,0.5,3.7025849053407e-10,0.5
-6.248868977820621e-09,0.5,3.6576075501670857e-10,0.5
-6.172986566355121e-09,0.5,3.6131986291820795e-10,0.5
-6.09802608408927e-09,0.5,3.5693226152488933e-10,0.5
-6.0239750965251915e-09,0.5,3.525961744799133e-10,0.5
-5.9508238337002695e-09,0.5,3.483151544969587e-10,0.5
-5.8785607492950476e-09,0.5,3.440856488623467e-10,0.5
-5.807175185168489e-09,0.5,3.3990765757607733e-10,0.5
-5.736657371357978e-09,0.5,3.3577940428131114e-10,0.5
-5.666994873365638e-09,0.5,3.3170266533488757e-10,0.5
-5.598178809407273e-09,0.5,3.276756643799672e-10,0.5
-5.530197633163425e-09,0.5,3.2369662505971064e-10,0.5
0.027038262995416673,0.5,0.024579554162166062,0.5
0.055509320876063306,0.5,0.05216310105820554,0.5
0.08243083642100046,0.5,0.07980361797109037,0.5
0.10790234506541285,0.5,0.10729701413488613,0.5
0.1320152845972551,0.5,0.134470371536497,0.5
0.15485375682149805,0.5,0.1611783619701379,0.5
0.17649521468646512,0.5,0.18730003411792584,0.5
0.19701108212681273,0.5,0.21273593502549826,0.5
0.216467313143057,0.5,0.23740553291849675,0.5
0.2349248960101482,0.5,0.26124491147437556,0.5
0.2524403079466193,0.5,0.2842047085440793,0.5
0.26906592507143845,0.5,0.3062482749228268,0.5
0.28485039202059426,0.5,0.32735003112588057,0.5
0.29983895518344816,0.5,0.3474940022582338,0.5
0.31407376314507474,0.5,0.36667251299825665,0.5
0.3275941375810545,0.5,0.38488502646396405,0.5
0.34043681754207444,0.5,0.4021371123138522,0.5
0.3526361797843718,0.5,0.41843953086764873,0.5
0.3642244375459178,0.5,0.433807421329786,0.5
0.3752318199352782,0.5,0.4482595833723879,0.5
0.38568673388821395,0.5,0.46181784239649115,0.5
0.39561591045459377,0.5,0.47450648975035126,0.5
0.4050445370035316,0.5,0.4863517900514456,0.5
0.41399637677629464,0.5,0.49738154854272576,0.5
0.42249387707309793,0.5,0.507624732121525,0.5
0.4305582672302002,0.5,0.5171111383185201,0.5
0.43820964742645696,0.5,0.5258711070806559,0.5
0.4454670692527287,0.5,0.5339352707319431,0.5
0.4523486088820672,0.5,0.5413343379549005,0.5
